,State Name,State,State FIPS,Place,Place FIPS,County,County FIPS
0,Alabama,AL,1,Abanda Cdp,100,Chambers County,17
1,Alabama,AL,1,Abbeville City,124,Henry County,67
2,Alabama,AL,1,Adamsville City,460,Jefferson County,73
3,Alabama,AL,1,Addison Town,484,Winston County,133
4,Alabama,AL,1,Akron Town,676,Hale County,65
5,Alabama,AL,1,Alabaster City,820,Shelby County,117
6,Alabama,AL,1,Albertville City,988,Marshall County,95
7,Alabama,AL,1,Alexander City City,1132,Tallapoosa County,123
8,Alabama,AL,1,Alexandria Cdp,1180,Calhoun County,15
9,Alabama,AL,1,Aliceville City,1228,Pickens County,107
10,Alabama,AL,1,Allgood Town,1396,Blount County,9
11,Alabama,AL,1,Altoona Town,1660,Blount County,9
12,Alabama,AL,1,Altoona Town,1660,Etowah County,55
13,Alabama,AL,1,Andalusia City,1708,Covington County,39
14,Alabama,AL,1,Anderson Town,1756,Lauderdale County,77
15,Alabama,AL,1,Anniston City,1852,Calhoun County,15
16,Alabama,AL,1,Arab City,2116,Cullman County,43
17,Alabama,AL,1,Arab City,2116,Marshall County,95
18,Alabama,AL,1,Ardmore Town,2260,Limestone County,83
19,Alabama,AL,1,Argo Town,2320,Jefferson County,73
20,Alabama,AL,1,Argo Town,2320,St. Clair County,115
21,Alabama,AL,1,Ariton Town,2428,Dale County,45
22,Alabama,AL,1,Arley Town,2500,Winston County,133
23,Alabama,AL,1,Ashford Town,2836,Houston County,69
24,Alabama,AL,1,Ashland Town,2860,Clay County,27
25,Alabama,AL,1,Ashville City,2908,St. Clair County,115
26,Alabama,AL,1,Athens City,2956,Limestone County,83
27,Alabama,AL,1,Atmore City,3004,Escambia County,53
28,Alabama,AL,1,Attalla City,3028,Etowah County,55
29,Alabama,AL,1,Auburn City,3076,Lee County,81
30,Alabama,AL,1,Autaugaville Town,3220,Autauga County,1
31,Alabama,AL,1,Avon Town,3364,Houston County,69
32,Alabama,AL,1,Axis Cdp,3508,Mobile County,97
33,Alabama,AL,1,Babbie Town,3556,Covington County,39
34,Alabama,AL,1,Baileyton Town,3676,Cullman County,43
35,Alabama,AL,1,Bakerhill Town,3724,Barbour County,5
36,Alabama,AL,1,Ballplay Cdp,3820,Etowah County,55
37,Alabama,AL,1,Banks Town,3940,Pike County,109
38,Alabama,AL,1,Bay Minette City,4660,Baldwin County,3
39,Alabama,AL,1,Bayou La Batre City,4684,Mobile County,97
40,Alabama,AL,1,Bear Creek Town,4852,Marion County,93
41,Alabama,AL,1,Beatrice Town,4900,Monroe County,99
42,Alabama,AL,1,Beaverton Town,4948,Lamar County,75
43,Alabama,AL,1,Belgreen Cdp,5140,Franklin County,59
44,Alabama,AL,1,Belk Town,5164,Fayette County,57
45,Alabama,AL,1,Bellamy Cdp,5188,Sumter County,119
46,Alabama,AL,1,Belle Fontaine Cdp,5212,Mobile County,97
47,Alabama,AL,1,Benton Town,5692,Lowndes County,85
48,Alabama,AL,1,Berry Town,5932,Fayette County,57
49,Alabama,AL,1,Bessemer City,5980,Jefferson County,73
50,Alabama,AL,1,Billingsley Town,6460,Autauga County,1
51,Alabama,AL,1,Birmingham City,7000,Jefferson County,73
52,Alabama,AL,1,Birmingham City,7000,Shelby County,117
53,Alabama,AL,1,Black Town,7120,Geneva County,61
54,Alabama,AL,1,Blountsville Town,7456,Blount County,9
55,Alabama,AL,1,Blue Ridge Cdp,7588,Elmore County,51
56,Alabama,AL,1,Blue Springs Town,7672,Barbour County,5
57,Alabama,AL,1,Boaz City,7912,Etowah County,55
58,Alabama,AL,1,Boaz City,7912,Marshall County,95
59,Alabama,AL,1,Boligee Town,8104,Greene County,63
60,Alabama,AL,1,Bon Air Town,8248,Talladega County,121
61,Alabama,AL,1,Boykin Cdp,8680,Wilcox County,131
62,Alabama,AL,1,Brantley Town,9016,Crenshaw County,41
63,Alabama,AL,1,Brantleyville Cdp,9064,Shelby County,117
64,Alabama,AL,1,Brent City,9136,Bibb County,7
65,Alabama,AL,1,Brewton City,9208,Escambia County,53
66,Alabama,AL,1,Bridgeport City,9328,Jackson County,71
67,Alabama,AL,1,Brighton City,9400,Jefferson County,73
68,Alabama,AL,1,Brilliant Town,9424,Marion County,93
69,Alabama,AL,1,Bristow Cove Cdp,9457,Etowah County,55
70,Alabama,AL,1,Brook Highland Cdp,9500,Shelby County,117
71,Alabama,AL,1,Brookside Town,9736,Jefferson County,73
72,Alabama,AL,1,Brookwood Town,9808,Tuscaloosa County,125
73,Alabama,AL,1,Broomtown Cdp,9880,Cherokee County,19
74,Alabama,AL,1,Brundidge City,10240,Pike County,109
75,Alabama,AL,1,Bucks Cdp,10456,Mobile County,97
76,Alabama,AL,1,Butler Town,11032,Choctaw County,23
77,Alabama,AL,1,Calera City,11416,Chilton County,21
78,Alabama,AL,1,Calera City,11416,Shelby County,117
79,Alabama,AL,1,Calvert Cdp,11488,Mobile County,97
80,Alabama,AL,1,Calvert Cdp,11488,Washington County,129
81,Alabama,AL,1,Camden City,11512,Wilcox County,131
82,Alabama,AL,1,Camp Hill Town,11680,Tallapoosa County,123
83,Alabama,AL,1,Carbon Hill City,12016,Walker County,127
84,Alabama,AL,1,Cardiff Town,12040,Jefferson County,73
85,Alabama,AL,1,Carlisle-Rockledge Cdp,12070,Etowah County,55
86,Alabama,AL,1,Carlton Cdp,12112,Clarke County,25
87,Alabama,AL,1,Carolina Town,12160,Covington County,39
88,Alabama,AL,1,Carrollton Town,12304,Pickens County,107
89,Alabama,AL,1,Castleberry Town,12496,Conecuh County,35
90,Alabama,AL,1,Catherine Cdp,12544,Wilcox County,131
91,Alabama,AL,1,Cedar Bluff Town,12760,Cherokee County,19
92,Alabama,AL,1,Center Point City,13264,Jefferson County,73
93,Alabama,AL,1,Centre City,13648,Cherokee County,19
94,Alabama,AL,1,Centreville City,13672,Bibb County,7
95,Alabama,AL,1,Chatom Town,14008,Washington County,129
96,Alabama,AL,1,Chelsea City,14104,Shelby County,117
97,Alabama,AL,1,Cherokee Town,14152,Colbert County,33
98,Alabama,AL,1,Chickasaw City,14392,Mobile County,97
99,Alabama,AL,1,Childersburg City,14464,Talladega County,121
100,Alabama,AL,1,Choccolocco Cdp,14728,Calhoun County,15
101,Alabama,AL,1,Chunchula Cdp,14968,Mobile County,97
102,Alabama,AL,1,Citronelle City,15064,Mobile County,97
103,Alabama,AL,1,Clanton City,15136,Chilton County,21
104,Alabama,AL,1,Clay City,15256,Jefferson County,73
105,Alabama,AL,1,Clayhatchee Town,15304,Dale County,45
106,Alabama,AL,1,Clayton Town,15376,Barbour County,5
107,Alabama,AL,1,Cleveland Town,15472,Blount County,9
108,Alabama,AL,1,Clio City,15640,Barbour County,5
109,Alabama,AL,1,Coaling Town,16000,Tuscaloosa County,125
110,Alabama,AL,1,Coats Bend Cdp,16080,Etowah County,55
111,Alabama,AL,1,Coffee Springs Town,16240,Geneva County,61
112,Alabama,AL,1,Coffeeville Town,16264,Clarke County,25
113,Alabama,AL,1,Coker Town,16312,Tuscaloosa County,125
114,Alabama,AL,1,Collinsville Town,16600,Cherokee County,19
115,Alabama,AL,1,Collinsville Town,16600,DeKalb County,49
116,Alabama,AL,1,Colony Town,16684,Cullman County,43
117,Alabama,AL,1,Columbia Town,16744,Houston County,69
118,Alabama,AL,1,Columbiana City,16768,Shelby County,117
119,Alabama,AL,1,Concord Cdp,16936,Jefferson County,73
120,Alabama,AL,1,Coosada Town,17176,Elmore County,51
121,Alabama,AL,1,Cordova City,17368,Walker County,127
122,Alabama,AL,1,Cottonwood Town,17824,Houston County,69
123,Alabama,AL,1,County Line Town,17968,Blount County,9
124,Alabama,AL,1,County Line Town,17968,Jefferson County,73
125,Alabama,AL,1,Courtland Town,18040,Lawrence County,79
126,Alabama,AL,1,Cowarts Town,18088,Houston County,69
127,Alabama,AL,1,Creola City,18304,Mobile County,97
128,Alabama,AL,1,Crossville Town,18856,DeKalb County,49
129,Alabama,AL,1,Cuba Town,18952,Sumter County,119
130,Alabama,AL,1,Cullman City,18976,Cullman County,43
131,Alabama,AL,1,Cullomburg Cdp,19024,Choctaw County,23
132,Alabama,AL,1,Cullomburg Cdp,19024,Washington County,129
133,Alabama,AL,1,Cusseta Town,19216,Chambers County,17
134,Alabama,AL,1,Dadeville City,19336,Tallapoosa County,123
135,Alabama,AL,1,Daleville City,19360,Dale County,45
136,Alabama,AL,1,Daphne City,19648,Baldwin County,3
137,Alabama,AL,1,Dauphin Island Town,19744,Mobile County,97
138,Alabama,AL,1,Daviston Town,19816,Tallapoosa County,123
139,Alabama,AL,1,Dayton Town,19912,Marengo County,91
140,Alabama,AL,1,Deatsville Town,20008,Elmore County,51
141,Alabama,AL,1,Decatur City,20104,Limestone County,83
142,Alabama,AL,1,Decatur City,20104,Morgan County,103
143,Alabama,AL,1,Deer Park Cdp,20152,Washington County,129
144,Alabama,AL,1,Delta Cdp,20272,Clay County,27
145,Alabama,AL,1,Demopolis City,20296,Marengo County,91
146,Alabama,AL,1,Detroit Town,20392,Lamar County,75
147,Alabama,AL,1,Dodge City Town,20955,Cullman County,43
148,Alabama,AL,1,Dora City,21136,Walker County,127
149,Alabama,AL,1,Dothan City,21184,Dale County,45
150,Alabama,AL,1,Dothan City,21184,Henry County,67
151,Alabama,AL,1,Dothan City,21184,Houston County,69
152,Alabama,AL,1,Double Springs Town,21280,Winston County,133
153,Alabama,AL,1,Douglas Town,21328,Marshall County,95
154,Alabama,AL,1,Dozier Town,21448,Crenshaw County,41
155,Alabama,AL,1,Dunnavant Cdp,21890,Shelby County,117
156,Alabama,AL,1,Dutton Town,21952,Jackson County,71
157,Alabama,AL,1,East Brewton City,22216,Escambia County,53
158,Alabama,AL,1,East Point Cdp,22504,Cullman County,43
159,Alabama,AL,1,Eclectic Town,22816,Elmore County,51
160,Alabama,AL,1,Edgewater Cdp,23032,Jefferson County,73
161,Alabama,AL,1,Edwardsville Town,23176,Cleburne County,29
162,Alabama,AL,1,Egypt Cdp,23224,Etowah County,55
163,Alabama,AL,1,Elba City,23296,Coffee County,31
164,Alabama,AL,1,Elberta Town,23320,Baldwin County,3
165,Alabama,AL,1,Eldridge Town,23344,Walker County,127
166,Alabama,AL,1,Elkmont Town,23488,Limestone County,83
167,Alabama,AL,1,Elmore Town,23656,Elmore County,51
168,Alabama,AL,1,Emelle Town,23872,Sumter County,119
169,Alabama,AL,1,Emerald Mountain Cdp,23880,Elmore County,51
170,Alabama,AL,1,Enterprise City,24184,Coffee County,31
171,Alabama,AL,1,Enterprise City,24184,Dale County,45
172,Alabama,AL,1,Epes Town,24256,Sumter County,119
173,Alabama,AL,1,Ethelsville Town,24472,Pickens County,107
174,Alabama,AL,1,Eufaula City,24568,Barbour County,5
175,Alabama,AL,1,Eunola Cdp,24616,Geneva County,61
176,Alabama,AL,1,Eutaw Town,24664,Greene County,63
177,Alabama,AL,1,Eva Town,24688,Morgan County,103
178,Alabama,AL,1,Evergreen City,24808,Conecuh County,35
179,Alabama,AL,1,Excel Town,24880,Monroe County,99
180,Alabama,AL,1,Fairfield City,25120,Jefferson County,73
181,Alabama,AL,1,Fairford Cdp,25216,Washington County,129
182,Alabama,AL,1,Fairhope City,25240,Baldwin County,3
183,Alabama,AL,1,Fairview Town,25384,Cullman County,43
184,Alabama,AL,1,Falkville Town,25648,Morgan County,103
185,Alabama,AL,1,Faunsdale Town,25816,Marengo County,91
186,Alabama,AL,1,Fayette City,25840,Fayette County,57
187,Alabama,AL,1,Fayetteville Cdp,25864,Talladega County,121
188,Alabama,AL,1,Fitzpatrick Cdp,26152,Bullock County,11
189,Alabama,AL,1,Five Points Town,26200,Chambers County,17
190,Alabama,AL,1,Flomaton Town,26824,Escambia County,53
191,Alabama,AL,1,Florala Town,26848,Covington County,39
192,Alabama,AL,1,Florence City,26896,Lauderdale County,77
193,Alabama,AL,1,Foley City,26992,Baldwin County,3
194,Alabama,AL,1,Forestdale Cdp,27088,Jefferson County,73
195,Alabama,AL,1,Forkland Town,27376,Greene County,63
196,Alabama,AL,1,Fort Deposit Town,27520,Lowndes County,85
197,Alabama,AL,1,Fort Payne City,27616,DeKalb County,49
198,Alabama,AL,1,Fort Rucker Cdp,27640,Dale County,45
199,Alabama,AL,1,Franklin Town,28024,Macon County,87
200,Alabama,AL,1,Fredonia Cdp,28120,Chambers County,17
201,Alabama,AL,1,Frisco City Town,28312,Monroe County,99
202,Alabama,AL,1,Fruitdale Cdp,28408,Washington County,129
203,Alabama,AL,1,Fruithurst Town,28432,Cleburne County,29
204,Alabama,AL,1,Fulton Town,28504,Clarke County,25
205,Alabama,AL,1,Fultondale City,28552,Jefferson County,73
206,Alabama,AL,1,Fyffe Town,28672,DeKalb County,49
207,Alabama,AL,1,Gadsden City,28696,Etowah County,55
208,Alabama,AL,1,Gainesville Town,28768,Sumter County,119
209,Alabama,AL,1,Gallant Cdp,28816,Etowah County,55
210,Alabama,AL,1,Gantt Town,28936,Covington County,39
211,Alabama,AL,1,Garden City Town,29032,Blount County,9
212,Alabama,AL,1,Garden City Town,29032,Cullman County,43
213,Alabama,AL,1,Gardendale City,29056,Jefferson County,73
214,Alabama,AL,1,Gaylesville Town,29296,Cherokee County,19
215,Alabama,AL,1,Geiger Town,29392,Sumter County,119
216,Alabama,AL,1,Geneva City,29464,Geneva County,61
217,Alabama,AL,1,Georgiana Town,29560,Butler County,13
218,Alabama,AL,1,Geraldine Town,29608,DeKalb County,49
219,Alabama,AL,1,Gilbertown Town,29704,Choctaw County,23
220,Alabama,AL,1,Glen Allen Town,29944,Fayette County,57
221,Alabama,AL,1,Glen Allen Town,29944,Marion County,93
222,Alabama,AL,1,Glencoe City,29992,Calhoun County,15
223,Alabama,AL,1,Glencoe City,29992,Etowah County,55
224,Alabama,AL,1,Glenwood Town,30160,Crenshaw County,41
