,State,State FIPS,Place,Place FIPS,County
0,AL,1,Abanda Cdp,100,Chambers County
1,AL,1,Abbeville City,124,Henry County
2,AL,1,Adamsville City,460,Jefferson County
3,AL,1,Addison Town,484,Winston County
4,AL,1,Akron Town,676,Hale County
5,AL,1,Alabaster City,820,Shelby County
6,AL,1,Albertville City,988,Marshall County
7,AL,1,Alexander City City,1132,Tallapoosa County
8,AL,1,Alexandria Cdp,1180,Calhoun County
9,AL,1,Aliceville City,1228,Pickens County
10,AL,1,Allgood Town,1396,Blount County
11,AL,1,Altoona Town,1660,"Blount County, Etowah County"
12,AL,1,Andalusia City,1708,Covington County
13,AL,1,Anderson Town,1756,Lauderdale County
14,AL,1,Anniston City,1852,Calhoun County
15,AL,1,Arab City,2116,"Cullman County, Marshall County"
16,AL,1,Ardmore Town,2260,Limestone County
17,AL,1,Argo Town,2320,"Jefferson County, St. Clair County"
18,AL,1,Ariton Town,2428,Dale County
19,AL,1,Arley Town,2500,Winston County
20,AL,1,Ashford Town,2836,Houston County
21,AL,1,Ashland Town,2860,Clay County
22,AL,1,Ashville City,2908,St. Clair County
23,AL,1,Athens City,2956,Limestone County
24,AL,1,Atmore City,3004,Escambia County
25,AL,1,Attalla City,3028,Etowah County
26,AL,1,Auburn City,3076,Lee County
27,AL,1,Autaugaville Town,3220,Autauga County
28,AL,1,Avon Town,3364,Houston County
29,AL,1,Axis Cdp,3508,Mobile County
30,AL,1,Babbie Town,3556,Covington County
31,AL,1,Baileyton Town,3676,Cullman County
32,AL,1,Bakerhill Town,3724,Barbour County
33,AL,1,Ballplay Cdp,3820,Etowah County
34,AL,1,Banks Town,3940,Pike County
35,AL,1,Bay Minette City,4660,Baldwin County
36,AL,1,Bayou La Batre City,4684,Mobile County
37,AL,1,Bear Creek Town,4852,Marion County
38,AL,1,Beatrice Town,4900,Monroe County
39,AL,1,Beaverton Town,4948,Lamar County
40,AL,1,Belgreen Cdp,5140,Franklin County
41,AL,1,Belk Town,5164,Fayette County
42,AL,1,Bellamy Cdp,5188,Sumter County
43,AL,1,Belle Fontaine Cdp,5212,Mobile County
44,AL,1,Benton Town,5692,Lowndes County
45,AL,1,Berry Town,5932,Fayette County
46,AL,1,Bessemer City,5980,Jefferson County
47,AL,1,Billingsley Town,6460,Autauga County
48,AL,1,Birmingham City,7000,"Jefferson County, Shelby County"
49,AL,1,Black Town,7120,Geneva County
50,AL,1,Blountsville Town,7456,Blount County
51,AL,1,Blue Ridge Cdp,7588,Elmore County
52,AL,1,Blue Springs Town,7672,Barbour County
53,AL,1,Boaz City,7912,"Etowah County, Marshall County"
54,AL,1,Boligee Town,8104,Greene County
55,AL,1,Bon Air Town,8248,Talladega County
56,AL,1,Boykin Cdp,8680,Wilcox County
57,AL,1,Brantley Town,9016,Crenshaw County
58,AL,1,Brantleyville Cdp,9064,Shelby County
59,AL,1,Brent City,9136,Bibb County
60,AL,1,Brewton City,9208,Escambia County
61,AL,1,Bridgeport City,9328,Jackson County
62,AL,1,Brighton City,9400,Jefferson County
63,AL,1,Brilliant Town,9424,Marion County
64,AL,1,Bristow Cove Cdp,9457,Etowah County
65,AL,1,Brook Highland Cdp,9500,Shelby County
66,AL,1,Brookside Town,9736,Jefferson County
67,AL,1,Brookwood Town,9808,Tuscaloosa County
68,AL,1,Broomtown Cdp,9880,Cherokee County
69,AL,1,Brundidge City,10240,Pike County
70,AL,1,Bucks Cdp,10456,Mobile County
71,AL,1,Butler Town,11032,Choctaw County
72,AL,1,Calera City,11416,"Chilton County, Shelby County"
73,AL,1,Calvert Cdp,11488,"Mobile County, Washington County"
74,AL,1,Camden City,11512,Wilcox County
75,AL,1,Camp Hill Town,11680,Tallapoosa County
